joblvl,ws
1,"Slice, Hard Slash, Raging Axe, Shield Break, Fast Blade, Wasp Sting, Shining Strike"
2,Hot Shot*
3,
4,
5,
6,
7,
8,
9,"Dark Harvest, Power Slash"
10,Burning Blade
11,
12,
13,
14,"Smash Axe, Iron Tempest, Gust Slash, Seraph Strike"
15,
16,Split Shot*
17,Red Lotus Blade
18,
19,
20,
21,
22,
23,"Shadow of Death, Frostbite"
24,"Gale Axe, Sturmwind"
25,"Shadowstitch, Brainshaker"
26,Flat Blade
27,
28,
29,
30,
31,
32,Sniper Shot*
33,"Nightmare Scythe, Freezebite"
34,"Avalanche Axe, Armor Break, Shining Blade"
35,"Viper Bite*, Starlight"
36,
37,
38,
39,
40,
41,Spinning Scythe
42,
43,Seraph Blade
44,"Cyclone*, Moonlight"
45,
46,
47,
48,
49,"Vorpal Scythe, Shockwave"
50,
51,"Spinning Axe, Keen Edge, Circle Blade"
52,"Energy Steal, Skullbreaker"
53,
54,
55,Crescent Moon
56,"Rampage, Weapon Break, Spirits Within"
57,"Energy Drain*, True Strike"
58,
59,
60,"Guillotine, Sickle Moon"
61,
62,Vorpal Blade
63,Slug Shot*
64,
65,"Cross Reaper, Judgment"
66,Spinning Slash
67,
68,Spiral Hell**
69,
70,
71,
72,Ground Strike**
73,
74,
75,"Decimation**, Steel Cyclone**, Savage Blade**, Blast Shot*"
,Insurgency**
76,
77,
78,
79,
80,"Infernal Scythe, Herculean Slash"
,Quietus** Torcleaver**
81,
82,
83,
84,
85,Bora Axe
86,Fell Cleave
87,Aeolian Edge
88,Flash Nova
89,
90,
91,
92,
93,
94,
95,
96,
97,
98,
99,
