lvl,name,element1,element12,element3,power
1,Ifrit: Punch,Liquefaction,-,-,60
1,Shiva: Axe Kick,Induration,-,-,60
1,Garuda: Claw,Detonation,-,-,60
1,Titan: Rock Throw,Scission,-,-,60
1,Ramuh: Shock Strike,Impaction,-,-,60
1,Leviathan: Barracuda Dive,Reverberation,-,-,60
1,Diabolos: Camisado,Compression,-,-,60
1,Cait Sith: Regal Scratch,Scission,-,-,60
5,Carbuncle: Poison Nails,Transfixion,-,-,60
5,Fenrir: Moonlit Charge,Compression,-,-,60
10,Fenrir: Crescent Fang,Transfixion,-,-,60
21,Titan: Rock Buster,Reverberation,-,-,60
23,Ifrit: Burning Strike,Impaction,-,-,60
26,Leviathan: Tail Whip,Detonation,-,-,60
30,Ifrit: Double Punch,Compression,-,-,60
35,Titan: Megalith Throw,Induration,-,-,60
50,Shiva: Double Slap,Scission,-,-,60
65,Fenrir: Eclipse Bite,Gravitation,-,-,60
70,Ifrit: Flaming Crush,Fusion,-,-,60
70,Titan: Mountain Buster,Gravitation,-,-,60
70,Leviathan: Spinning Dive,Distortion,-,-,60
70,Garuda: Predator Claws,Fragmentation,-,-,60
70,Shiva: Rush,Distortion,-,-,60
70,Ramuh: Chaotic Strike,Fragmentation,-,-,60
