joblvl,ws
1,"Double Thrust, Heavy Swing, Fast Blade"
2,"Shining Strike, Wasp Sting"
3,
4,
5,
6,
7,
8,
9,Thunder Thrust
10,Burning Blade
11,
12,
13,
14,Rock Crusher
15,
16,"Seraph Strike*, Gust Slash"
17,
18,Red Lotus Blade*
19,
20,
21,
22,
23,Raiden Thrust
24,Earth Crusher*
25,
26,Flat Blade
27,
28,"Brainshaker, Shadowstitch"
29,
30,
31,
32,
33,Leg Sweep
34,Starburst
35,Shining Blade
36,
37,
38,
39,
40,"Starlight, Viper Bite*"
41,
42,
43,
44,Seraph Blade*
45,
46,
47,
48,
49,Penta Thrust
50,"Moonlight*, Cyclone*"
51,Sunburst*
52,Circle Blade
53,
54,
55,Vorpal Thrust
56,"Shell Crusher, Skullbreaker, Energy Steal"
57,Spirits Within
58,
59,
60,Skewer
61,
62,Full Swing
63,"True Strike, Energy Drain*"
64,
65,"Wheeling Thrust, Vorpal Blade*"
66,
67,
68,"Impulse Drive**, Spirit Taker"
69,
70,
71,
72,
73,Retribution**
74,
75,Judgment*
