joblvl,ws
1,"Combo, Heavy Swing, Shining Strike"
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,Shoulder Tackle
14,"Rock Crusher, Seraph Strike*"
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,"One Inch Punch, Earth Crusher"
25,Brainshaker
26,
27,
28,
29,
30,
31,
32,
33,Backhand Blow
34,Starburst
35,Starlight
36,
37,
38,
39,
40,
41,Raging Fists
42,
43,
44,Moonlight*
45,
46,
47,
48,
49,Spinning Attack
50,
51,Sunburst
52,Skullbreaker
53,
54,
55,
56,Shell Crusher
57,True Strike
58,
59,
60,Howling Fist
61,
62,Full Swing
63,
64,Judgment*
65,Dragon Kick
66,Spirit Taker
67,
68,
69,
70,Asuran Fists**
71,Retribution**
72,
73,
74,
75,Black Halo**
