joblvl,ws
1,"Blade: Rin, Wasp Sting, Fast Blade, Hot Shot*, Tachi: Enpi"
2,"Shining Strike, Combo, Flaming Arrow*"
3,
4,
5,
6,
7,
8,
9,Blade: Retsu
10,"Burning Blade, Tachi: Hobaku"
11,
12,
13,
14,"Gust Slash, Split Shot*"
15,
16,"Seraph Strike*, Shoulder Tackle, Piercing Arrow*"
17,
18,Red Lotus Blade*
19,
20,
21,
22,
23,Blade: Teki
24,
25,"Shadowstitch, Tachi: Goten"
26,Flat Blade
27,
28,"Sniper Shot*, Brainshaker"
29,
30,One Inch Punch*
31,
32,Dulling Arrow*
33,Blade: To
34,
35,"Viper Bite, Shining Blade, Tachi: Kagero"
36,
37,
38,
39,
40,"Starlight, Backhand Blow"
41,
42,
43,
44,"Cyclone, Seraph Blade*"
45,
46,
47,
48,
49,Blade: Chi
50,"Moonlight*, Raging Fists*"
51,
52,"Energy Steal, Circle Blade, Tachi: Jinpu"
53,
54,
55,Blade: Ei
56,"Skullbreaker, Spinning Attack"
57,"Energy Drain, Spirits Within, Slug Shot*, Tachi: Koki"
58,
59,
60,Blade: Jin
61,
62,
63,"True Strike, Sidewinder*"
64,
65,Vorpal Blade*
66,Blade: Ten
67,
68,
69,
70,
71,
72,Blade: Ku**
73,
74,
75,"Evisceration**, Judgment*"
