joblvl,ws
1,"Fast Blade, Shining Strike, Heavy Swing, Hard Slash, Wasp Sting"
2,Double Thrust
3,
4,
5,
6,
7,
8,
9,Burning Blade
10,Power Slash
11,
12,Thunder Thrust
13,"Seraph Strike, Rock Crusher"
14,Gust Slash
15,
16,Red Lotus Blade
17,
18,
19,
20,
21,
22,
23,"Brainshaker, Earth Crusher"
24,"Flat Blade, Frostbite"
25,Shadowstitch
26,
27,
28,Raiden Thrust
29,
30,
31,
32,
33,"Shining Blade, Starlight, Starburst"
34,Freezebite
35,Viper Bite*
36,
37,
38,
39,
40,Leg Sweep
41,"Seraph Blade, Moonlight"
42,
43,
44,Cyclone*
45,
46,
47,
48,
49,"Circle Blade, Skullbreaker, Sunburst"
50,
51,Shockwave
52,Energy Steal
53,
54,
55,"Spirits Within, True Strike, Shell Crusher"
56,"Crescent Moon, Penta Thrust"
57,Energy Drain*
58,
59,
60,"Vorpal Blade, Judgment, Full Swing"
61,
62,Sickle Moon
63,"Spirit Taker, Vorpal Thrust"
64,
65,Swift Blade
66,
67,"Black Halo**, Retribution**"
68,Savage Blade**
69,Spinning Slash
70,
71,
72,
73,
74,
75,"Ground Strike,"
76,
77,
78,
79,
80,"Sanguine Blade, Flash Nova, Cataclysm"
81,
82,
83,Herculean Slash
84,
85,
86,
87,
88,Aeolian Edge*
89,
90,Requiescat***
91,"Realmrazer***, Shattersoul***"
92,
93,
94,Resolution***
95,
96,
97,
98,
99,Sonic Thrust
