joblvl,ws
1,"Tachi: Enpi, Double Thrust, Fast Blade, Flaming Arrow*"
2,"Shining Strike, Wasp Sting"
3,
4,
5,
6,
7,
8,
9,Tachi: Hobaku
10,"Thunder Thrust, Burning Blade"
11,
12,
13,
14,Piercing Arrow*
15,
16,"Seraph Strike, Gust Slash"
17,
18,Red Lotus Blade*
19,
20,
21,
22,
23,Tachi: Goten
24,Raiden Thrust*
25,
26,Flat Blade
27,
28,"Dulling Arrow*, Brainshaker, Shadowstitch"
29,
30,
31,
32,
33,Tachi: Kagero
34,Leg Sweep
35,Shining Blade
36,
37,
38,
39,
40,"Starlight, Viper Bite*"
41,
42,
43,
44,Seraph Blade*
45,
46,
47,
48,
49,Tachi: Jinpu
50,"Moonlight, Cyclone*"
51,Penta Thrust
52,Circle Blade
53,
54,
55,Tachi: Koki
56,"Vorpal Thrust, Skullbreaker, Energy Steal"
57,"Spirits Within, Sidewinder*"
58,
59,
60,Tachi: Yukikaze
61,
62,
63,"True Strike, Energy Drain*"
64,Vorpal Blade*
65,Tachi: Gekko
66,
67,
68,
69,
70,Tachi: Kasha**
71,
72,
73,
74,
75,"Impulse Drive**, Judgment"
