joblvl,ws
1,"Ifrit: Punch, Shiva: Axe Kick, Garuda: Claw, Titan: Rock Throw, Ramuh: Shock Strike, Leviathan: Barracuda Dive"
2,
3,
4,
5,"Carbuncle: Poison Nails, Fenrir: Moonlit Charge"
6,
7,
8,
9,
10,Fenrir: Crescent Fang
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,Titan: Rock Buster
22,
23,Ifrit: Burning Strike
24,
25,
26,Leviathan: Tail Whip
27,
28,
29,
30,Ifrit: Double Punch
31,
32,
33,
34,
35,Titan: Megalith Throw
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,
50,Shiva: Double Slap
51,
52,
53,
54,
55,
56,
57,
58,
59,
60,
61,
62,
63,
64,
65,Fenrir: Eclipse Bite
66,
67,
68,
69,"Ifrit: Flaming Crush, Titan: Mountain Buster, Leviathan: Spinning Dive, Garuda: Predator Claws, Shiva: Rush, Ramuh: Chaotic Strike"
70,
71,
72,
73,
74,
75,
