joblvl,ws
1,"Wasp Sting, Hot Shot*, Flaming Arrow*"
2,"Fast Blade, Shining Strike, Combo"
3,
4,
5,
6,
7,
8,
9,
10,
11,Burning Blade
12,
13,Gust Slash
14,"Split Shot*, Piercing Arrow*"
15,
16,"Seraph Strike*, Shoulder Tackle"
17,
18,
19,Red Lotus Blade*
20,
21,
22,
23,Shadowstitch
24,
25,
26,
27,
28,"Sniper Shot*, Dulling Arrow*, Flat Blade, Brainshaker"
29,
30,One Inch Punch*
31,
32,
33,Viper Bite
34,
35,
36,
37,Shining Blade*
38,
39,
40,"Starlight, Backhand Blow"
41,Cyclone
42,
43,
44,
45,
46,Seraph Blade*
47,
48,
49,Energy Steal
50,"Moonlight*, Raging Fists*"
51,
52,
53,Circle Blade*
54,
55,Energy Drain
56,"Skullbreaker, Spinning Attack"
57,"Slug Shot*, Sidewinder*"
58,
59,Spirits Within
60,Dancing Edge
61,
62,
63,True Strike
64,Blast Shot*
65,
66,Shark Bite
67,Evisceration**
68,
69,
70,Vorpal Blade*
71,
72,
73,
74,
75,Judgment*
,Mandalic Stab**
76,
77,
78,
79,
80,Aeolian Edge
81,
82,
83,
84,
85,
86,
87,
88,
89,
90,
91,
92,
93,
94,
95,
96,
97,
98,
99,
