joblvl,ws
1,"Shield Break, Raging Axe, Hard Slash, Slice, Heavy Swing, Fast Blade, Double Thrust, Shining Strike, Wasp Sting"
2,"Combo, Flaming Arrow*, Hot Shot*"
3,
4,
5,
6,
7,
8,
9,
10,"Power Slash, Dark Harvest, Burning Blade, Thunder Thrust"
11,
12,
13,"Iron Tempest, Smash Axe"
14,"Rock Crusher, Seraph Strike, Gust Slash"
15,"Shoulder Tackle, Piercing Arrow*, Split Shot*"
16,
17,Red Lotus Blade
18,
19,
20,
21,
22,
23,"Sturmwind, Gale Axe"
24,"Frostbite, Shadow of Death, Earth Crusher, Raiden Thrust, Brainshaker, Shadowstitch"
25,
26,Flat Blade
27,
28,One Inch Punch*
29,
30,"Dulling Arrow*, Sniper Shot*"
31,
32,
33,"Armor Break, Avalanche Axe"
34,"Freezebite, Nightmare Scythe, Starburst, Shining Blade, Leg Sweep, Starlight, Viper Bite*"
35,
36,
37,Backhand Blow
38,
39,
40,
41,
42,
43,"Spinning Scythe, Seraph Blade, Moonlight, Cyclone*"
44,
45,
46,Raging Fists*
47,
48,
49,"Keen Edge, Spinning Axe"
50,
51,"Shockwave, Vorpal Scythe, Sunburst, Circle Blade, Penta Thrust, Skullbreaker, Energy Steal"
52,
53,Spinning Attack
54,
55,"Weapon Break, Rampage"
56,"Crescent Moon, Shell Crusher, Spirits Within, Vorpal Thrust, True Strike, Energy Drain*"
57,
58,
59,"Sidewinder*, Slug Shot*"
60,"Raging Rush, Calamity"
61,
62,"Full Swing, Vorpal Blade, Judgment"
63,
64,
65,Full Break
66,"Mistral Axe, Spirit Taker"
67,
68,Steel Cyclone**
69,
70,Decimation**
71,Retribution**
72,Spiral Hell**
73,"Black Halo**, Evisceration**, Savage Blade**"
74,Ground Strike**
75,Impulse Drive**
,King's Justice**
76,
77,
78,
79,
80,"Fell Cleave, Bora Axe"
81,
82,Herculean Slash
83,Cataclysm
84,Infernal Scythe
85,"Flash Nova, Sanguine Blade"
86,Sonic Thrust
87,
88,
89,
90,
91,
92,
93,
94,
95,
96,
97,
98,
99,
